NYSE,APB,03.01.00,11.5,11.5,11.19,11.25,71200,4.32
NYSE,APC,03.01.00,33.94,33.94,32.57,32.63,1195000,15.19
NYSE,APD,03.01.00,33.31,33.69,32.75,32.81,551200,26.6
NYSE,APF,03.01.00,12,12.31,11.75,11.87,202500,9.3
NYSE,APH,03.01.00,67.44,67.75,66.63,67.25,524800,8.32
NYSE,APU,03.01.00,14.54,15.02,14.47,14.9,39900,6.2
NYSE,APX,03.01.00,8.75,8.75,8.69,8.75,15100,4.54
NYSE,ARE,03.01.00,31.81,31.81,31.25,31.25,48500,20.79
NYSE,ARG,03.01.00,9.56,9.56,8.75,8.94,114400,8.37
NYSE,ARJ,03.01.00,20.59,20.59,18.68,19.54,49500,14.12
NYSE,ARK,03.01.00,6.35,6.41,6.23,6.35,128900,2.16
NYSE,ARL,03.01.00,16.87,16.87,16.87,16.87,500,16.87
NYSE,ARW,03.01.00,25.12,25.12,22.31,22.44,549200,22.44
NYSE,ASA,03.01.00,18.73,19.11,18.67,19.04,66800,14.8
NYSE,ASF,03.01.00,30.5,31,30,30.25,89400,13.97
NYSE,ASG,03.01.00,10.54,10.66,10.24,10.3,98100,3.76
NYSE,ASH,03.01.00,32.63,32.75,32,32,596000,19.49
NYSE,ASI,03.01.00,6.5,6.5,6.25,6.25,8400,5.9
NYSE,ASP,03.01.00,11.19,11.19,11.19,11.19,10300,5.07
NYSE,ATI,03.01.00,22.06,22.25,21.87,21.94,401800,16.89
NYSE,ATK,03.01.00,62.06,62.19,61,61.5,69200,18.22
NYSE,ATO,03.01.00,20,20.31,20,20.06,40300,12.2
NYSE,ATR,03.01.00,25.07,25.07,23.32,23.7,238000,10.48
NYSE,ATW,03.01.00,38.62,38.62,36.25,36.88,303200,9.22
NYSE,AU,03.01.00,25.5,25.87,25.37,25.56,59800,19.62
NYSE,AVA,03.01.00,15.26,15.32,14.63,14.63,113500,10.63
NYSE,AVB,03.01.00,34.19,34.25,33.81,33.94,61900,20.46
NYSE,AVD,03.01.00,5.87,5.87,5.75,5.75,16400,0.55
NYSE,AVP,03.01.00,32.29,32.35,30.74,31.55,1888800,12.94
NYSE,AVT,03.01.00,59.98,60.04,58.92,59.1,189000,28.99
NYSE,AVX,03.01.00,49.94,49.94,46.75,48,211200,21.51
NYSE,AVY,03.01.00,72.25,72.37,71.37,71.37,420300,54.04
NYSE,AWC,03.01.00,21.68,21.68,21.55,21.55,900,15.08
NYSE,AWF,03.01.00,8.21,8.27,8.15,8.27,327700,3.08
NYSE,AWR,03.01.00,35.88,36,35.19,35.94,23400,17.42
